N°,N°ENREGISTREMENT,CODE,DENOMINATION COMMUNE INTERNATIONALE,NOM DE MARQUE,FORME,DOSAGE,CONDITIONNEMENT,LISTE,P1,P2,OBS,LABORATOIRES DETENTEUR DE LA DECISION D'ENREGISTREMENT,PAYS DU LABORATOIRE DETENTEUR DE LA DECISION D'ENREGISTREMENT,DATE D'ENREGISTREMENT INITIAL,DATE D'ENREGISTREMENT FINAL,TYPE,STATUT
1396,003/14 G 184/00,14 G 184,EAU POUR PREPARATION INJECTABLE,EAU POUR PREPARATION INJECTABLE,---,AMP. DE 3ML,B/50 AMP. de 3ML,,HOP,,,SAIDAL,ALGERIE,2000-04-08 00:00:00,2000-04-08 00:00:00,GE,F
1397,003/14 G 185/00,14 G 185,EAU POUR PREPARATION INJECTABLE,EAU POUR PREPARATION INJECTABLE,---,AMP. DE 5ML,B/50 AMP. de 5ML,,HOP,,,SAIDAL,ALGERIE,2000-04-08 00:00:00,2000-04-08 00:00:00,GE,F
1398,003/14 G 301/06,14 G 301,CHLORURE DE SODIUM/CHLORURE DE POTASSIUM/CHLORURE DE MAGNESIUM/GLUCONATE DE CALCIUM/GLUCOSE MONOHYDRATE,REHYDRAX,SOLUTE DE REHYDRATATION PAR VOIE PARENTERALE,"1,5G/1G/0,5G/0,5G/27,5G/500ML",CARTON/12FL/500ML,,HOP,,,SAIDAL GROUPE,ALGERIE,2006-12-18 00:00:00,2006-12-18 00:00:00,GE,F
1399,332/14 G 321/08,14 G 321,CHLORURE DE POTASSIUM/CHLORURE DE SODIUM/GLUCOSE ANHYDRE,BIONOLYTE G5,SOL. PERF.IV,"0,2G/0,4G/5G/100ML",FL./500ML,,HOP,,,FRESENIUS KABI FRANCE,FRANCE,2008-09-10 00:00:00,2008-09-10 00:00:00,RE,I
1400,003/14 G 328/09,14 G 328,CALCIUM PIDOLATE EXPRIME EN CALCIUM ELEMENT,ACTICAL,AMP. BUV.,135MG/10ML DE CALCIUM** (1G/10ML OU 10% DE PIDOLATE DE CALCIUM),B/20AMP. DE 10ML,,HOP,OFF,,SAIDAL GROUPE,ALGERIE,2009-04-06 00:00:00,2009-04-06 00:00:00,GE,F
1401,084/14 H 085/98,14 H 085,ACIDE ASCORBIQUE,VITAMINE C,SOL.INJ.,500MG/5ML,B/10AMP.,,HOP,OFF,,BIOLOGICI ITALIA,ITALIE,1998-01-26 00:00:00,1998-01-26 00:00:00,GE,I
1402,002/14 H 094/99,14 H 094,COLECALCIFEROL (OU VIT.D3),COLECALCIFEROL,SOL.BUV.,200 000UI/ML,B/1AMP.,LISTE II,HOP,OFF,,RENAUDIN,FRANCE,1999-07-24 00:00:00,1999-07-24 00:00:00,GE,I
1403,188/14 H 096/99,14 H 096,COMPLEXE VITAMINIQUE,LEKOVIT,COMPRIME,"VIT.C 9MG/VITB1 0,2MG/VIT B2 0,24MG VITB6 0,28MG/VIT PP 2,60MG",B/20,,HOP,OFF,,LEK,SLOVENIE,1999-07-25 00:00:00,1999-07-25 00:00:00,GE,I
1404,003/14 H 097/97,14 H 097,COMPLEXE VITAMINIQUE,VITAFORM,SOL.BUV.GTTES,,FL/20ML,,HOP,OFF,,SAIDAL,ALGERIE,1997-08-16 00:00:00,1997-08-16 00:00:00,GE,F
1405,002/14 H 101/00,14 H 101,PYRIDOXINE (CHLORHYDRATE) (OU VITAMINE B6),PYRIDOXINE CHLORHYDRATE,SOL.INJ.,250MG/5ML,B/10AMP. DE 5ML,,HOP,OFF,,RENAUDIN,FRANCE,2000-02-09 00:00:00,2000-02-09 00:00:00,GE,I
1406,003/14 H 102/97,14 H 102,PYRIDOXINE,B.SIX,COMPRIME,250MG,B/20,,HOP,OFF,,SAIDAL,ALGERIE,1997-01-05 00:00:00,1997-01-05 00:00:00,GE,F
1407,084/14 H 108/02,14 H 108,THIAMINE (CHLORHYDRATE) (OU VITAMINE B1),THIAMINE CHLORHYDRATE,SOL INJ,100MG/2ML,B/10AMP.,,HOP,OFF,,BIOLOGICI,ITALIE,2002-06-23 00:00:00,2002-06-23 00:00:00,GE,I
1408,002/14 H 108/98,14 H 108,THIAMINE (OU VITAMINE B1),THIAMINE,SOL.INJ.,100MG/2ML,B/5,,HOP,OFF,,RENAUDIN,FRANCE,1998-05-23 00:00:00,1998-05-23 00:00:00,GE,I
1409,013/14 H 109/99/07,14 H 109,THIAMINE (OU VITAMINE B1),NOVAVIT B1,COMPRIME SECABLE,250MG,B/40,,HOP,OFF,,NOVA ARGENTIA,ITALIE,1999-11-09 00:00:00,2007-12-22 00:00:00,GE,I
1410,128/14 H 113/99,14 H 113,VITAMINE H,BIOTINE,COMPRIME,5MG,B/20,,HOP,OFF,,ROCHE,FRANCE,1999-01-23 00:00:00,1999-01-23 00:00:00,RE,I
1411,128/14 H 114/99,14 H 114,VITAMINE H,BIOTINE,AMP.INJ.,5MG/ML,B/6,,HOP,OFF,,ROCHE,FRANCE,1999-01-23 00:00:00,1999-01-23 00:00:00,RE,I
1412,008/14 H 115/96,14 H 115,ACIDE ASCORBIQUE,VITAMINE C UPSA,COMPRIME A CROQUER,500MG,B/30,,HOP,OFF,,UPSA CONSEIL,FRANCE,1996-08-06 00:00:00,1996-08-06 00:00:00,RE,I
1413,352/14 H 115/08,14 H 115,ACIDE ASCORBIQUE ** (SOUS FORME D'ACIDE ASCORBIQUE+ASCORBATE DE SODIUM),VITA-C 500,COMPRIME A SUCER,500MG** ( sel 167MG+375MG),B/20,,HOP,OFF,,EL KENDI PHARMACEUTICALS MANUFACTURING COMPANY,ALGERIE,2008-12-23 00:00:00,2008-12-23 00:00:00,GE,I
1414,035/14 H 176/99/11,14 H 176,ACIDE ASCORBIQUE,VITAL C,GLES. À MICROGRLES. LP,500MG,B/20,,HOP,OFF,,PHARMALLIANCE,ALGERIE,1999-08-01 00:00:00,2016-08-01 00:00:00,GE,F
1415,288/14 L 133/03,14 L 133,LAIT SPECIAL PREMATURES,NENATAL,PDRE,,B/400G,,HOP,OFF,,NUTRICIA S A,FRANCE,2003-10-29 00:00:00,2003-10-29 00:00:00,RE,I
1416,288/14 L 208/03,14 L 208,LAIT POUR NOURRISSON A LA FARINE DE GRAINES DE CAROUBE,NUTRILON AR 1er AGE,PDRE,,B/400G,,HOP,OFF,,NUTRICIA S A,FRANCE,2003-11-15 00:00:00,2003-11-15 00:00:00,RE,I
1417,288/14 L 209/03,14 L 209,LAIT POUR NOURRISSON A LA FARINE DE GRAINES DE CAROUBE,NUTRILON AR 2ème AGE,PDRE,,B/400G,,HOP,OFF,,NUTRICIA S A,FRANCE,2003-11-15 00:00:00,2003-11-15 00:00:00,RE,I
1418,352/15 A 001/07,15 A 001,VALPROATE DE SODIUM,EPIVAL,COMPRIME,200MG,B/50,LISTE II,HOP,OFF,,EL KENDI INDUSTRIE DU MEDICAMENT,ALGERIE,2007-05-09 00:00:00,2007-05-09 00:00:00,GE,I
1419,352/15 A 002/07,15 A 002,VALPROATE DE SODIUM,EPIVAL,COMPRIME,500MG,B/50,LISTE II,HOP,OFF,,EL KENDI INDUSTRIE DU MEDICAMENT,ALGERIE,2007-05-09 00:00:00,2007-05-09 00:00:00,GE,I
1420,003/15 A 003/06,15 A 003,VALPROATE DE SODIUM,VALKINE,SOL.BUV.,200MG/ML,FL./60ML AVEC SERINGUE DOSEUSE,LISTE II,HOP,OFF,,SAIDAL GROUPE,ALGERIE,2006-07-31 00:00:00,2006-07-31 00:00:00,GE,F
1421,174/15 A 004/98,15 A 004,CARBAMAZEPINE,CARBAZINE,COMPRIME,200MG,B/30,LISTE II,HOP,OFF,,UNITED PHARMACEUTICAL MANUFACTURING (UPM),JORDANIE,1998-10-07 00:00:00,1998-10-07 00:00:00,GE,I
1422,352/15 A 004/09,15 A 004,CARBAMAZEPINE,EPTOL,COMPRIME,200MG,B/30,LISTE II,HOP,OFF,,EL KENDI INDUSTRIE DU MEDICAMENT,ALGERIE,2009-07-01 00:00:00,2009-07-01 00:00:00,GE,I
1423,003/15 A 004/09,15 A 004,CARBAMAZEPINE,NEUROZEPINE,COMPRIME SECABLE,200MG,B/50,LISTE II,HOP,OFF,,SAIDAL GROUPE,ALGERIE,2009-03-07 00:00:00,2009-03-07 00:00:00,GE,F
1424,013/15 A 004/99,15 A 004,CARBAMAZEPINE,NOVACARBIN,COMPRIME,200MG,B/50,LISTE II,HOP,OFF,,NOVA ARGENTIA,ITALIE,1999-11-21 00:00:00,1999-11-21 00:00:00,GE,I
1425,330/15 A 004/07,15 A 004,CARBAMAZEPINE,ZEPTOL 200,COMPRIME,200MG,B/50 ET B/100,LISTE II,HOP,OFF,B/100 UNIQUEMENT HOPITAUX,SUN PHARMACEUTICAL INDUSTRIES LTD,INDE,2007-05-07 00:00:00,2007-05-07 00:00:00,GE,I
1426,002/15 A 012/98,15 A 012,PHENOBARBITAL (SOUS FORME SODIQUE),PHENOBARBIAL,PDRE. P. SOL. INJ.,40MG,B/1AMP. DE 1ML,LISTE II,HOP,OFF,,RENAUDIN,FRANCE,1998-06-15 00:00:00,1998-06-15 00:00:00,GE,I
1427,003/15 A 013/05,15 A 013,PHENOBARBITAL,NEUROLAL,COMPRIME,50MG,B/20,LISTE II,HOP,OFF,,SAIDAL,ALGERIE,2005-06-05 00:00:00,2005-06-05 00:00:00,GE,F
1428,003/15 A 014/05,15 A 014,PHENOBARBITAL,NEUROLAL,COMPRIME,100MG,B/20,LISTE II,HOP,OFF,,SAIDAL,ALGERIE,2005-06-05 00:00:00,2005-06-05 00:00:00,GE,F
1429,257/15 A 016/97,15 A 016,PHENYTOINE,DI-HYDAN,COMPRIME SECABLE,100MG,B/60,LISTE II,HOP,OFF,,GENOPHARM,FRANCE,1997-11-08 00:00:00,1997-11-08 00:00:00,RE,I
1430,003/15 A 051/08,15 A 051,LAMOTRIGINE,AMOTRIDAL,COMP.DISPERS.,5MG,B/28,LISTE I,HOP,OFF,,SAIDAL GROUPE,ALGERIE,2008-07-14 00:00:00,2008-07-14 00:00:00,GE,F
1431,003/15 A 052/08,15 A 052,LAMOTRIGINE,AMOTRIDAL,COMP.DISPERS.,25MG,B/28,LISTE I,HOP,OFF,,SAIDAL GROUPE,ALGERIE,2008-07-14 00:00:00,2008-07-14 00:00:00,GE,F
1432,003/15 A 053/08,15 A 053,LAMOTRIGINE,AMOTRIDAL,COMP.DISPERS.,100MG,B/28,LISTE I,HOP,OFF,,SAIDAL GROUPE,ALGERIE,2008-07-14 00:00:00,2008-07-14 00:00:00,GE,F
1433,001/15 A 063/09,15 A 063,LAMOTRIGINE,LAMOGINE,COMPRIME SECABLE,25MG,B/30,LISTE I,HOP,OFF,,HIKMA PHARMACEUTICALS,JORDANIE,2009-07-01 00:00:00,2009-07-01 00:00:00,GE,F
1434,001/15 A 064/09,15 A 064,LAMOTRIGINE,LAMOGINE,COMPRIME SECABLE,50MG,B/30,LISTE I,HOP,OFF,,HIKMA PHARMACEUTICALS,JORDANIE,2009-07-01 00:00:00,2009-07-01 00:00:00,GE,F
1435,068/15 A 076/07,15 A 076,OXCARBAZEPINE,TRILEPTAL,COMPRIME PELLICULE,150MG,B/50,LISTE II,HOP,OFF,,NOVARTIS PHARMA AG,SUISSE,2007-05-07 00:00:00,2007-05-07 00:00:00,RE,I
1436,035/15 A 081/11,15 A 081,TOPIRAMATE,REPANIDE,COMPRIME PELLICULE,25MG,B/30,LISTE I,HOP,OFF,,PHARMALLIANCE,ALGERIE,2011-03-16 00:00:00,2011-03-16 00:00:00,GE,F
1437,035/15 A 082/11,15 A 082,TOPIRAMATE,REPANIDE,COMPRIME PELLICULE,50MG,B/30,LISTE I,HOP,OFF,,PHARMALLIANCE,ALGERIE,2011-03-16 00:00:00,2011-03-16 00:00:00,GE,F
1438,035/15 A 083/11,15 A 083,TOPIRAMATE,REPANIDE,COMPRIME PELLICULE,100MG,B/30,LISTE I,HOP,OFF,,PHARMALLIANCE,ALGERIE,2011-03-16 00:00:00,2011-03-16 00:00:00,GE,F
1439,003/15 A 089/09,15 A 089,LAMOTRIGINE,AMOTRIDAL,COMP. DISPERS.,50MG,B/28,LISTE I,HOP,OFF,,SAIDAL GROUPE,ALGERIE,2009-03-28 00:00:00,2009-03-28 00:00:00,GE,F
1440,001/15 A 090/09,15 A 090,LAMOTRIGINE,LAMOGINE,COMPRIME SECABLE,100MG,B/30,LISTE I,HOP,OFF,,HIKMA PHARMACEUTICALS,JORDANIE,2009-07-01 00:00:00,2009-07-01 00:00:00,GE,F
1441,012/15 B 021/99,15 B 021,DIHYDROERGOTAMINE,DIGROMIN,SOL.BUV,2MG/ML,FL/50ML,LISTE II,HOP,OFF,,CROVIS PHILCOM,ITALIE,1999-11-09 00:00:00,1999-11-09 00:00:00,GE,I
1442,188/15 B 021/99,15 B 021,DIHYDROERGOTAMINE,DITAMIN,SOL.BUV.,2MG/ML,FL/50ML,LISTE II,HOP,OFF,,LEK,SLOVENIE,1999-06-06 00:00:00,1999-06-06 00:00:00,GE,I
1443,273/15 B 021/98,15 B 021,DIHYDROERGOTAMINE (MESILATE),SEGLOR,SOL. BUV. EN GTTES.,2MG/ML,FL/75ML,LISTE II,HOP,OFF,,SCHWARZ PHARMA A .G,FRANCE,1998-04-20 00:00:00,1998-04-20 00:00:00,GE,I
1444,035/15 B 022/07,15 B 022,PIZOTIFENE (SOUS FORME DE MALATE),MIGRAZEN,COMPRIME PELLICULE,"0,5MG DE PIZOTIFENE (0,73MG DE MALATE)",B/50,LISTE II,HOP,OFF,,PHARMALLIANCE,ALGERIE,2007-02-28 00:00:00,2007-02-28 00:00:00,GE,F
1445,013/15 B 022/98,15 B 022,PIZOTIFENE (SOUS FORME DE MALEATE),NATIFEN,COMPRIME,"0,50MG (PIZOTIFENE MALEATE 0,73MG)",B/50,LISTE II,HOP,OFF,,NOVA ARGENTIA,ITALIE,1998-08-06 00:00:00,1998-08-06 00:00:00,GE,I
1446,043/15 B 022/98,15 B 022,PIZOTIFENE (SOUS FORME DE MALEATE),PIZOFEN,COMPRIME,"0,50MG (PIZOTIFENE MALEATE 0,73MG)",B/30,LISTE II,HOP,OFF,,JORDANIAN PHARMACEUTICAL MANIFACTURING,JORDANIE,1998-08-16 00:00:00,1998-08-16 00:00:00,GE,I
1447,068/15 B 022/97,15 B 022,PIZOTIFENE (SOUS FORME DE MALEATE),SANMIGRAN,COMPRIME PELLICULE,"0,50MG (PIZOTIFENE MALEATE 0,73MG)",B/50,LISTE II,HOP,OFF,,NOVARTIS PHARMA S.A.,FRANCE,1997-06-02 00:00:00,1997-06-02 00:00:00,RE,I
1448,112/15 B 054/02,15 B 054,NARATRIPTAN,NARAMIG,COMPRIME,"2,5MG",B/6,LISTE I,HOP,OFF,,GLAXO WELLCOME,ROYAUME UNI,2002-11-24 00:00:00,2002-11-24 00:00:00,RE,I
1449,084/15 C 024/00,15 C 024,NEOSTIGMINE METHYLSULFATE,NEOSTIGMINE METHYLSULFATE,SOL.INJ,"0,5MG/ML",B/10,LISTE I,HOP,OFF,,BIOLOGICI ITALIA,ITALIE,2000-03-22 00:00:00,2000-03-22 00:00:00,GE,I
1450,013/15 D 028/98,15 D 028,BROMOCRIPTINE,BRONOVA,GLES.,10MG,B/30,LISTE I,HOP,OFF,,NOVA ARGENTIA,ITALIE,1998-07-01 00:00:00,1998-07-01 00:00:00,GE,I
1451,020/15 H 079/07,15 H 079,TOXINE BOTULINIQUE TYPE A : COMPLEXE TOXINE - HEMAGLUTININE Bo TX-A,DYSPORT 500UNITES SPEYWOOD,PDRE. SOL. INJ.,500UI SPEYWOOD (Une Unité Speywood correspond à DL 50 chez la souris par voie intra péritonéale),B/01,LISTE I,HOP,,,BEAUFOUR IPSEN PHARMA,FRANCE,2007-06-02 00:00:00,2007-06-02 00:00:00,RE,I
1452,188/16 A 001/99,16 A 001,AMITRIPTYLINE CHLORHYDRATE EXPRIME EN AMITRIPTYLINE,AMYZOL,COMPRIME,25MG,B/60,LISTE I,HOP,OFF,,LEK,SLOVENIE,1999-03-16 00:00:00,1999-03-16 00:00:00,GE,I
1453,128/16 A 001/99,16 A 001,AMITRIPTYLINE CHLORHYDRATE EXPRIME EN AMITRIPTYLINE,LAROXYL,COMPRIME PELLICULE,25MG,B/60,LISTE I,HOP,OFF,,ROCHE,FRANCE,1999-01-23 00:00:00,1999-01-23 00:00:00,RE,I
1454,010/16 A 001/99,16 A 001,AMITRIPTYLINE CHLORHYDRATE EXPRIME EN AMITRIPTYLINE,UPTONIC,COMPRIME PELLICULE,25MG,B/60,LISTE I,HOP,OFF,,LIFEPHARMA,ITALIE,1999-11-27 00:00:00,1999-11-27 00:00:00,GE,I
1455,128/16 A 002/99,16 A 002,AMITRIPTYLINE CHLORHYDRATE EXPRIME EN AMITRIPTYLINE,LAROXYL,COMPRIME PELLICULE,50MG,B/20,LISTE I,HOP,OFF,,ROCHE,FRANCE,1999-01-23 00:00:00,1999-01-23 00:00:00,RE,I
1456,010/16 A 002/99,16 A 002,AMITRIPTYLINE CHLORHYDRATE EXPRIME EN AMITRIPTYLINE,UPTONIC,COMPRIME PELLICULE,50MG,B/20,LISTE I,HOP,OFF,,LIFEPHARMA,ITALIE,1999-11-09 00:00:00,1999-11-09 00:00:00,GE,I
1457,003/16 A 003/09,16 A 003,AMITRIPTYLINE CHLORHYDRATE EXPRIME EN AMITRIPTYLINE,TRIPTAMYL,SOL. BUV.,4% (40MG/ML),FL. COMPT.GTTES DE 20ML,LISTE I,HOP,OFF,,SAIDAL GROUPE,ALGERIE,2009-02-10 00:00:00,2009-02-10 00:00:00,GE,F
1458,068/16 A 010/97,16 A 010,MAPROTILINE,LUDIOMIL,COMP.PELLI.SEC,25MG,B/50,LISTE I,HOP,OFF,,NOVARTIS PHARMA S.A.,FRANCE,1997-11-18 00:00:00,1997-11-18 00:00:00,RE,I
1459,068/16 A 011/97,16 A 011,MAPROTILINE,LUDIOMIL,COMP.PELLI.SEC,75MG,B/28,LISTE I,HOP,OFF,,NOVARTIS PHARMA S.A.,FRANCE,1997-11-08 00:00:00,1997-11-08 00:00:00,RE,I
1460,012/16 A 018/99,16 A 018,TRIMIPRAMINE,TRIMIANIN,SOL.BUV.GTTES,0.04,FL/30ML,LISTE I,HOP,OFF,,CROVIS PHILCOM,ITALIE,1999-11-09 00:00:00,1999-11-09 00:00:00,GE,I
1461,035/16 A 099/11,16 A 099,SERTRALINE CHLORHYDRATE EXPRIME EN SERTRALINE,ZEXIL,GLES.,50MG,B/30,LISTE I,HOP,OFF,,PHARMALLIANCE,ALGERIE,2011-05-04 00:00:00,2011-05-04 00:00:00,GE,F
1462,003/16 A 099/09,16 A 099,SERTRALINE CHLORHYDRATE EXPRIME EN SERTRALINE,ZOTROP,GLES.,50MG,B/30,LISTE I,HOP,OFF,,SAIDAL GROUPE,ALGERIE,2009-02-10 00:00:00,2009-02-10 00:00:00,GE,F
1463,001/16 A 105/11,16 A 105,ESCITALOPRAM OXALATE EXPRIME EN ESCITALOPRAM,LINAPEX,COMP. PELLI. SEC.,10MG,B/30,LISTE I,HOP,OFF,,HIKMA PHARMACEUTICALS,JORDANIE,2011-11-27 00:00:00,2011-11-27 00:00:00,GE,F
1464,030/16 A 125/08,16 A 125,VENLAFAXINE CHLORHYDRATE EXPRIME EN VENLAFAXINE,EFFEXOR LP,GLES. LP,"37,5MG",B/30,LISTE I,HOP,OFF,,WYETH PHARMACEUTICALS,FRANCE,2009-01-06 00:00:00,2009-01-06 00:00:00,RE,I
1465,035/16 A 125/09,16 A 125,VENLAFAXINE CHLORHYDRATE EXPRIME EN VENLAFAXINE,FLAXYNE,GLES.LP,"37,5MG",B/30,LISTE I,HOP,OFF,,PHARMALLIANCE,ALGERIE,2009-12-08 00:00:00,2009-12-08 00:00:00,GE,F
1466,035/16 A 126/09,16 A 126,VENLAFAXINE CHLORHYDRATE EXPRIME EN VENLAFAXINE,FLAXYNE,GLES. LP,75MG,B/30,LISTE I,HOP,OFF,,PHARMALLIANCE,ALGERIE,2009-12-06 00:00:00,2009-12-06 00:00:00,GE,F
1467,001/16 A 130/11,16 A 130,ESCITALOPRAM** (SOUS FORME D'OXALATE),LINAPEX,COMP. PELLI. SEC.,20MG,B/30,LISTE I,HOP,OFF,,HIKMA PHARMACEUTICALS,JORDANIE,2011-11-27 00:00:00,2011-11-27 00:00:00,GE,F
1468,001/16 A 133/12,16 A 133,ESCITALOPRAM** (SOUS FORME D'OXALATE),LINAPEX,COMPRIME PELLICULE,5MG**,B/30,LISTE I,HOP,OFF,,HIKMA PHARMACEUTICALS,JORDANIE,2012-01-18 00:00:00,2012-01-18 00:00:00,GE,F
1469,352/16 A 136/09,16 A 136,CITALOPRAM HYDROBROMURE EXPRIME EN CITALOPRAM,LOPRA,COMPRIME,20MG,B/30,LISTE I,HOP,OFF,,EL KENDI INDUSTRIE DU MEDICAMENT,ALGERIE,2009-07-01 00:00:00,2009-07-01 00:00:00,GE,I
1470,013/16 B 019/99,16 B 019,CHLORDIAZEPOXIDE,NOVAPOXID,COMPRIME,5MG,B/30,LISTE I,HOP,OFF,,NOVA ARGENTIA,ITALIE,1999-11-16 00:00:00,1999-11-16 00:00:00,GE,I
1471,002/16 B 025/00,16 B 025,DIAZEPAM,DIAZEPAM,SOL.INJ.,10MG/2ML,B/10,LISTE I,HOP,OFF,,RENAUDIN,FRANCE,2000-02-09 00:00:00,2000-02-09 00:00:00,GE,I
1472,013/16 B 027/98,16 B 027,DIAZEPAM,NOVAPAM,COMPRIME,5MG,B/40,LISTE I,HOP,OFF,,NOVA ARGENTIA,ITALIE,1998-07-01 00:00:00,1998-07-01 00:00:00,GE,I
1473,003/16 B 027/97/09,16 B 027,DIAZEPAM,VALZEPAM,COMPRIME,5MG,B/20,LISTE I,HOP,OFF,,SAIDAL GROUPE,ALGERIE,1997-01-05 00:00:00,2009-03-07 00:00:00,GE,F
1474,003/16 B 028/97,16 B 028,DIAZEPAM,VALZEPAM,COMPRIME,10MG,B/20,LISTE I,HOP,OFF,,SAIDAL GROUPE,ALGERIE,1997-01-05 00:00:00,2005-03-06 00:00:00,GE,F
1475,002/16 B 029/00,16 B 029,DIAZEPAM,DIAZEPAM,SOL .BUV .GTTES,0.01,FL/20ML,LISTE I,HOP,OFF,,RENAUDIN,FRANCE,2000-08-16 00:00:00,2000-08-16 00:00:00,GE,I
1476,003/16 B 042/06,16 B 042,LORAZEPAM,NEVROSTAT,COMPRIME SECABLE,1MG,B/40,LISTE I,HOP,OFF,,SAIDAL GROUPE,ALGERIE,2007-01-06 00:00:00,2007-01-06 00:00:00,GE,F
1477,003/16 B 043/10,16 B 043,LORAZEPAM,NEVROSTA,COMPRIME SECABLE,"2,5MG",B/40,LISTE I,HOP,OFF,,SAIDAL GROUPE,ALGERIE,2010-03-16 00:00:00,2010-03-16 00:00:00,GE,F
1478,003/16 B 098/06,16 B 098,BROMAZEPAM,TRANSOMIL,COMP. QUADRI-SEC.,6MG,B/30,LISTE I,HOP,OFF,,SAIDAL GROUPE,ALGERIE,2006-02-14 00:00:00,2006-02-14 00:00:00,GE,F
1479,003/16 B 108/08,16 B 108,BROMAZEPAM,TRANSOMIL,COMPRIME,"1,5MG",B/20,LISTE I,HOP,OFF,,SAIDAL GROUPE,ALGERIE,2008-02-23 00:00:00,2008-02-23 00:00:00,GE,F
1480,003/16 B 109/08,16 B 109,BROMAZEPAM,TRANSOMIL,COMPRIME,3MG,B/20,LISTE I,HOP,OFF,,SAIDAL GROUPE,ALGERIE,2008-03-23 00:00:00,2008-03-23 00:00:00,GE,F
1481,013/16 C 052/98,16 C 052,NITRAZEPAM,NAZEPAM,COMPRIME,5MG,B/20,LISTE I,HOP,OFF,,NOVA ARGENTIA,ITALIE,1998-07-01 00:00:00,1998-07-01 00:00:00,GE,I
1482,002/16 D 053/98,16 D 053,CHLORPROMAZINE (SOUS FORME DE CHLORHYDRATE),CHLORPROMAZINE,SOL.INJ.,25MG,FL/30ML,LISTE I,HOP,OFF,,RENAUDIN,FRANCE,1998-05-23 00:00:00,1998-05-23 00:00:00,GE,I
1483,016/16 D 056/96,16 D 056,LEVOMEPROMAZINE,NOZINAN,SOL.INJ.,25MG/ML,B/5,LISTE I,HOP,OFF,,RHONE POULENC RORER,FRANCE,1996-11-10 00:00:00,1996-11-10 00:00:00,RE,I
1484,013/16 D 057/96/09,16 D 057,LEVOMEPROMAZINE MALEATE EXPRIME EN LEVOMEPROMAZINE,NOVAZIN,COMPRIME PELLICULE,25MG,B/20,LISTE I,HOP,OFF,,NOVA ARGENTIA,ITALIE,1996-10-13 00:00:00,2009-10-04 00:00:00,GE,I
1485,016/16 D 058/97,16 D 058,LEVOMEPROMAZINE,NOZINAN,COMP.PELLI. SEC.,100MG,B/20,LISTE I,HOP,OFF,,RHONE POULENC RORER,FRANCE,1997-01-18 00:00:00,1997-01-18 00:00:00,RE,I
1486,016/16 D 060/96,16 D 060,PIPOTIAZINE,PIPORTIL,COMP. PELLI.SEC.,10MG,B/20,LISTE I,HOP,OFF,,RHONE POULENC RORER,FRANCE,1996-12-14 00:00:00,1996-12-14 00:00:00,RE,I
1487,035/16 D 066/00/08,16 D 066,SULPIRIDE,SULRID,GLES.,50MG,B/30,LISTE I,HOP,OFF,,PHARMALLIANCE,ALGERIE,2001-01-24 00:00:00,2008-03-24 00:00:00,GE,F
1488,026/16 D 067/02/09,16 D 067,SULPIRIDE,SULPIRED,SOL.BUV.,25MG/5ML,FL/200ML,LISTE I,HOP,OFF,,LABORATOIRE PHARMACEUTIQUE ALGERIEN (LPA),ALGERIE,2002-01-27 00:00:00,2009-01-27 00:00:00,GE,F
1489,035/16 D 067/08,16 D 067,SULPIRIDE,SULRID,SOL. BUV.,"0,5G/100ML",FL./200ML,LISTE I,HOP,OFF,,PHARMALLIANCE,ALGERIE,2008-03-24 00:00:00,2008-03-24 00:00:00,GE,F
1490,003/16 D 085/09,16 D 085,HALOPERIDOL,HALLUDOL,SOL. BUV. GTTES.,2MG/ML,FL./15ML,LISTE I,HOP,OFF,,SAIDAL GROUPE,ALGERIE,2009-05-02 00:00:00,2009-05-02 00:00:00,GE,F
1491,010/16 D 087/99,16 D 087,HALOPERIDOL,DISTENSOL,COMPRIME,5MG,B/30,LISTE I,HOP,OFF,,LIFEPHARMA,ITALIE,1999-11-09 00:00:00,1999-11-09 00:00:00,GE,I
1492,035/16 D 089/11,16 D 089,RISPERIDONE,RIPSYZEN,COMP. PELLI. SEC.,1MG,B/30,LISTE I,HOP,OFF,,PHARMALLIANCE,ALGERIE,2011-02-24 00:00:00,2011-02-24 00:00:00,GE,F
1493,035/16 D 090/11,16 D 090,RISPERIDONE,RIPSYZEN,COMP. ENRO. SEC.,2MG,B/30,LISTE I,HOP,OFF,,PHARMALLIANCE,ALGERIE,2011-02-24 00:00:00,2011-02-24 00:00:00,GE,F
1494,035/16 D 091/11,16 D 091,RISPERIDONE,RIPSYZEN,COMP. ENRO. SEC.,4MG,B/30,LISTE I,HOP,OFF,,PHARMALLIANCE,ALGERIE,2011-02-24 00:00:00,2011-02-24 00:00:00,GE,F
1495,003/16 D 099/08,16 D 099,OLANZAPINE,ZOLAMPINE,COMPRIME,5MG,B/30,LISTE I,HOP,OFF,,SAIDAL GROUPE,ALGERIE,2008-05-17 00:00:00,2008-05-17 00:00:00,GE,F
1496,003/16 D 100/08,16 D 100,OLANZAPINE,ZOLAMPINE,COMPRIME,10MG,B/30,LISTE I,HOP,OFF,,SAIDAL GROUPE,ALGERIE,2008-05-17 00:00:00,2008-05-17 00:00:00,GE,F
1497,003/16 D 101/10,16 D 101,OLANZAPINE,ZOLAMPINE,COMP. ORODISPERS.,10MG,B/30,LISTE I,HOP,OFF,,SAIDAL GROUPE,ALGERIE,2010-03-16 00:00:00,2010-03-16 00:00:00,GE,F
