N°,N°ENREGISTREMENT,CODE,DENOMINATION COMMUNE INTERNATIONALE,NOM DE MARQUE,FORME,DOSAGE,COND,LISTE,P1,P2,LABORATOIRES DETENTEUR DE LA DECISION D'ENREGISTREMENT,PAYS DU LABORATOIRE DETENTEUR DE LA DECISION D'ENREGISTREMENT,DATE D'ENREGISTREMENT INITIAL,TYPE,STATUT,DATE DE RETRAIT,MOTIF DE RETRAIT
1543,017/13 G 046/96,13 G 046,AMOXICILLINE,BRISTAMOX - HICONCIL,PDRE.SIROP.,125MG/5ML,FL/60ML,Liste I,HOP,OFF,BRISTOL MYERS SQUIBB,FRANCE,1996-09-24 00:00:00,Gé,I,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
1544,225/13 G 046/00,13 G 046,AMOXICILLINE,PENACIN,SUSP. BUV.,125MG/5ML,FL/100ML,Liste I,HOP,OFF,JAZEERA,ARABIE SAOUDITE,2000-02-27 00:00:00,Gé,I,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
1545,055/13 G 046/98,13 G 046,AMOXICILLINE,AMOXYDAR,SUSP.BUV.,125MG/5ML,FL/100ML,Liste I,HOP,OFF,DAR AL DAWA,JORDANIE,1998-09-01 00:00:00,Gé,I,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
1546,099/13 G 046/99,13 G 046,AMOXICILLINE,AGRAM,PDRE. P. SUSP.BUV.,125MG/5ML,FL/60ML,Liste I,HOP,OFF,PIERRE FABRE,FRANCE,1999-01-13 00:00:00,Gé,I,2013-12-11 00:00:00,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
1547,081/13 G 046/98,13 G 046,AMOXICILLINE,AMOXICILLINE-RATIOPHARM,SUSP.BUV.,125MG/5ML,FL/60ML (FL/15G DE PDRE),Liste I,HOP,OFF,LAFON RATIOPHARM,FRANCE,1998-09-23 00:00:00,Gé,I,RETRAIT,RETRAIT PAR LE MSPRH POUR INTERDICTION DU LABORATOIRE
1548,076/13 G 046/97,13 G 046,AMOXICILLINE,ARDINE,SUSP.BUV.,125MG/5ML,FL/60ML,Liste I,HOP,OFF,PHARMACIA UPJOHN,ESPAGNE,1997-12-30 00:00:00,Gé,I,RETRAIT,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
1549,057/13 G 047/98,13 G 047,AMOXICILLINE,AMODEX,PDRE. SIROP,250MG/5ML,FL/60ML,Liste I,HOP,OFF,SYNTHELABO,FRANCE,1998-02-09 00:00:00,Gé,I,2006-11-06 00:00:00,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
1550,076/13 G 047/97,13 G 047,AMOXICILLINE,ARDINE,SUSP. BUV.,250MG/5ML,FL/60ML,Liste I,HOP,OFF,PHARMACIA UPJOHN,ESPAGNE,1997-12-30 00:00:00,Gé,I,2008-05-14 00:00:00,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
1551,080/13 G 047/98,13 G 047,AMOXICILLINE,OSPAMOX,GRLES. P.SUSP.OR.,250MG/5ML,FL/60ML,Liste I,HOP,OFF,SANDOZ GMBH,AUTRICHE,1998-01-26 00:00:00,Gé,I,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
1552,236/13 G 047/00,13 G 047,AMOXICILLINE,AMOXICILLINE - BAYER,PDRE P. SUSP BUV,250MG/5ML,FL/60ML,Liste I,HOP,OFF,BAYER CLASSICS,FRANCE,2000-12-11 00:00:00,Gé,I,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
