N,N°ENREGISTREMENT,CODE,DENOMINATION COMMUNE INTERNATIONALE,NOM DE MARQUE,FORME,DOSAGE,CONDITIONNEMENT,LISTE,P1,P2,OBS,LABORATOIRES DETENTEUR DE LA DECISION D'ENREGISTREMENT,PAYS DU LABORATOIRE DETENTEUR DE LA DECISION D'ENREGISTREMENT,DATE D'ENREGISTREMENT INITIAL,DATE D'ENREGISTREMENT FINAL,TYPE,STATUT,DUREE DE STABILITE
4445,321/20 F 104/19,20 F 104,FLUTICASONE (SOUS FORME DE PROPIONATE)**/SALMETEROL**(SOUS FORME DE XINAFOATE),SALFLUZON,PDRE. INHAL. EN GLES. + INHALATEUR,100µG**/50µG**/GELE.,B/60 GELULE + INHALATEUR,LISTE I,HOP,OFF,,BIOLOGIE ET VITAMINE D'ALGERIE BIOVITAL,ALGERIE,2019-03-04 00:00:00,2024-02-14 00:00:00,GE,F,24 MOIS
4446,177/20 F 105/17/23,20 F 105,FLUTICASONE (SOUS FORME DE PROPIONATE)**/SALMETEROL**(SOUS FORME DE XINAFOATE),BREQUAL,CAPSULES CONTENANT PDRE.PR INHAL.,250µG**/50µG*,B/60 +INHALATEUR DE QHALER,LISTE I,HOP,OFF,,ABDI IBRAHIM ILAÇ SANAYI VE TICARET A.Ş,TURQUIE,2017-07-02 00:00:00,2023-03-02 00:00:00,GE,F,24 MOIS
4447,263/20 F 105/09,20 F 105,FLUTICASONE(SOUS FORME DE PROPIONATE)**/SALMETEROL**(SOUS FORME DE XINAFOATE),SEROFLO,PDRE. INHAL. EN GLES. + INHALATEUR,250µG/50µG/GLE.**,B/30,LISTE I,HOP,OFF,,BIOPHARM SPA,ALGERIE,2009-10-20 00:00:00,2009-10-20 00:00:00,GE,F,
4448,321/20 F 105/19,20 F 105,FLUTICASONE (SOUS FORME DE PROPIONATE)**/SALMETEROL**(SOUS FORME DE XINAFOATE),SALFLUZON,CAPSULES CONTENANT PDRE.PR INHAL.,250µG**/50µG*,B/60 GELULE + INHALATEUR,LISTE I,HOP,OFF,,BIOLOGIE ET VITAMINE D'ALGERIE BIOVITAL,ALGERIE,2019-03-14 00:00:00,2024-02-14 00:00:00,GE,F,24 MOIS
4449,177/20 F 106/17/23,20 F 106,FLUTOCASONE PROPIONATE/SALMETEROL XINAFOATE EXPRIME EN SALMETEROL,BREQUAL,CAPSULES CONTENANT DE LA PDRE P.INHALATION,500µG/50µG,B/60 CAPSULES + 1 INHALATEUR QHALER,LISTE I,HOP,OFF,,ABDI IBRAHIM REMEDE PHARMA,ALGERIE,2017-07-02 00:00:00,2023-03-02 00:00:00,GE,F,24 MOIS
4450,321/20 F 106/19,20 F 106,FLUTICASONE (SOUS FORME DE PROPIONATE)/SALMETEROL(SOUS FORME DE XINAFOATE),SALFLUZON,CAPSULES CONTENANT PDRE.PR INHAL.,500µG**/50µG*,B/60 GELULE + INHALATEUR,LISTE I,HOP,OFF,,BIOLOGIE ET VITAMINE D'ALGERIE BIOVITAL,ALGERIE,2019-03-04 00:00:00,2024-02-14 00:00:00,GE,F,24 MOIS
4451,036/20 F 228/07,20 F 228,BUDESONIDE/FORMOTEROL,SYMBICORT TURBUHALER,PDRE. P. INHAL.,100µG/6µG/DOSE,FL./120DOSES,LISTE I,HOP,OFF,,ASTRA ZENECA,FRANCE,2007-05-12 00:00:00,2007-05-12 00:00:00,RE,I,
4452,263/20 F 228/09,20 F 228,BUDESONIDE/FORMOTEROL (SOUS FORME DE FUMARATE)**,FORACORT,PDRE. INHAL. EN GLES. + INHALATEUR,100µG/6µG/GLE.**,B/30,LISTE I,HOP,OFF,,BIOPHARM SPA,ALGERIE,2009-10-20 00:00:00,2009-10-20 00:00:00,GE,F,
4453,036/20 F 229/07/16,20 F 229,BUDESONIDE/FORMOTEROL,SYMBICORT TURBUHALER,PDRE. P. INHAL.,200µG/6µG/DOSE,FL./120DOSES,LISTE I,HOP,OFF,,ASTRA ZENECA,FRANCE,2007-05-12 00:00:00,2017-01-04 00:00:00,RE,I,24 MOIS
4454,263/20 F 229/09,20 F 229,BUDESONIDE/FORMOTEROL (SOUS FORME DE FUMARATE)**,FORACORT,PDRE. INHAL. EN GLES. + INHALATEUR,200µG/6µG/GLE.**,B/30,LISTE I,HOP,OFF,,BIOPHARM SPA,ALGERIE,2009-10-20 00:00:00,2009-10-20 00:00:00,GE,F,
4455,036/20 F 230/07/16,20 F 230,BUDESONIDE/FORMOTEROL,SYMBICORT TURBUHALER,PDRE. P. INHAL.,400µG/12µG/DOSE,FL./60DOSES,LISTE I,HOP,OFF,,ASTRA ZENECA,FRANCE,2007-05-12 00:00:00,2017-01-04 00:00:00,RE,I,24 MOIS
4456,535/20 F 230/17,20 F 230,BUDESONIDE/FORMOTEROL ( FORMOTEROL FUMARATE ),BUDEK PLUS,PDRE. P. INHAL. EN GELULE,400µG/12µG/DOSE,B/01 FL./60 GELULES + INHALATEUR ORAL,LISTE I,HOP,OFF,,LABORATORIO DE PRODUCTOS ETICOS C.E.I.S.A,PARAGUAY,2017-09-10 00:00:00,2017-09-10 00:00:00,GE,I,24 MOIS
4457,182/20 F 236/09/16,20 F 236,BUDESONIDE/FORMOTEROL FUMARATE,FORACORT HFA 100,SPRAY BUCCAL,100µG/6µG/DOSE,FL./120DOSES,LISTE I,HOP,OFF,,CIPLA LIMITED,INDE,2009-05-11 00:00:00,2017-03-06 00:00:00,GE,I,24 MOIS
4458,358/20 F 236/09,20 F 236,BUDESONIDE/FORMOTEROL (SOUS FORME DE FUMARATE DIHYDRATE)**,FORMONIDE,SUSP. INHAL.BUCCALE,100µG/6µG/DOSE**,FL./120DOSES,LISTE I,HOP,OFF,,CADILA HEALTHCARE LIMITED,INDE,2009-09-24 00:00:00,2009-09-24 00:00:00,GE,F,
4459,182/20 F 237/09,20 F 237,BUDESONIDE/FORMOTEROL FUMARATE,FORACORT HFA 200,SPRAY BUCCAL,200µG/6µG/DOSE,FL./120DOSES,LISTE I,HOP,OFF,,CIPLA LIMITED,INDE,2009-05-11 00:00:00,2009-05-11 00:00:00,GE,I,
4460,358/20 F 237/09,20 F 237,BUDESONIDE/FORMOTEROL (SOUS FORME DE FUMARATE DIHYDRATE)**,FORMONIDE,SUSP. INHAL.BUCCALE,200µG/6µG/DOSE**,FL./120DOSES,LISTE I,HOP,OFF,,CADILA HEALTHCARE LIMITED,INDE,2009-09-24 00:00:00,2009-09-24 00:00:00,GE,F,
4461,092/20 F 244/14,20 F 244,BECLOMETASONE DIPROPIONATE/FORMOTEROL FUMARATE DIHYDRATE,FOSTER,SOL P/INHALATION,100µG/6µG,FL/120 DOSES,LISTE I,HOP,OFF,,CHIESI FARMACEUTICI SPA,ITALIE,2014-03-19 00:00:00,2014-03-19 00:00:00,GE,I,20 MOIS
4462,092/20 F 252/24,20 F 252,DIPROPIONATE DE BECLOMETASONE ANHYDRE/FUMARATE DE FORMOTEROL DIHYDRATE,FOSTER NEXTHALER,POUDRE POUR INHALATION,100MG/6MG,B/01 INHALATEUR MULTIDOSE CONTENANT 120 INHALATIONS,LISTE I,HOP,OFF,,CHIESI FARMACEUTICI SPA,ITALIE,2024-02-08 00:00:00,2024-02-08 00:00:00,RE,I,36 MOIS
4463,498/20 G 248/17,20 G 248,BERACTANT,SURVANTA,SUSPENSION INTRATRACHEALE,25 MG/ML,B/1 FL DE 4ML (100 MG DE PHOSPHOLIPIDES/4ML) OU B/1FL DE 8ML (200 MG DE PHOSPHOLIPIDES/8 ML),LISTE I,HOP,,,ABBVIE CORPORATION,CANADA,2017-07-20 00:00:00,2017-07-20 00:00:00,RE,I,18 MOIS
4464,225/20 G 250/18,20 G 250,CALFACTANT,INFASURF,SUSPENSION INTRATRACHEALE,35 MG/ML,B/1 FL DE 3ML (105 MG DE PHOSPHOLIPIDES/3ML) ET B/1FL DE 6 ML (210 MG DE PHOSPHOLIPIDES/6ML),LISTE I,HOP,,,JAZEERA PHARMACEUTICALS INDUSTRIES,ARABIE SAOUDITE,2018-07-24 00:00:00,2018-07-24 00:00:00,RE,I,18 MOIS
4465,003/21 A 001/98/17,21 A 001,ACIDE NIFLUMIQUE,FLUCIDAL,POMMADE DERMIQUE,"0,03",TUBE/40G,,HOP,OFF,,GROUPE SAIDAL,ALGERIE,1998-01-20 00:00:00,2021-10-14 00:00:00,GE,F,36 MOIS
4466,366/21 A 001/07/13,21 A 001,ACIDE NIFLUMIQUE,NIFLURIC,POMMADE DERMIQUE,"0,03",T/40G,,HOP,OFF,,4A SANTE INDUSTRIE,ALGERIE,2007-09-15 00:00:00,2013-08-07 00:00:00,GE,F,
4467,169/21 A 003/99,21 A 003,DEXAMETHASONE ACETATE/SALICYLAMIDE/SALICYLATE D'HYDROXYETHYLE,PERCUTALGINE,GEL DERMIQUE,"0,005%/2%/10%",T/30G,LISTE I,HOP,OFF,,BESINS INTERNATIONAL,FRANCE,1999-12-19 00:00:00,1999-12-19 00:00:00,RE,I,
4468,003/21 A 004/00/16,21 A 004,DICLOFENAC DIETHYLAMINE EXPRIME EN DICLOFENAC SODIQUE,CLOGEL,GEL DERMIQUE,"0,01",T/30G,LISTE II,HOP,OFF,,GROUPE SAIDAL,ALGERIE,2000-11-11 00:00:00,2016-05-11 00:00:00,GE,F,36 MOIS
4469,088/21 A 004/04,21 A 004,DICLOFENAC DIETHYLAMINE EXPRIME EN DICLOFENAC SODIQUE,VOLTENAC,GEL DERMIQUE,"0,01",T/50G,LISTE II,HOP,OFF,,LABORATOIRES PHARMAGHREB,ALGERIE,2004-02-07 00:00:00,2004-02-07 00:00:00,GE,F,
4470,262/21 A 004/99/22,21 A 004,DICLOFENAC DIETHYLAMINE EXPRIME EN DICLOFENAC SODIQUE,VOLTARENE EMULGEL,GEL DERMIQUE,"0,01",TUBE/50G,LISTE II,HOP,OFF,,GLAXOSMITHKLINE,FRANCE,1997-11-09 00:00:00,2022-05-15 00:00:00,RE,F,36 MOIS
4471,263/21 A 004/11,21 A 004,DICLOFENAC DIETHYLAMINE EXPRIME EN DICLOFENAC SODIQUE,BIOFENAC,GEL DERMIQUE,"0,01",T/50G,LISTE II,HOP,OFF,,BIOPHARM SPA,ALGERIE,2011-05-30 00:00:00,2011-05-30 00:00:00,GE,F,36 MOIS
4472,319/21 A 004/09,21 A 004,DICLOFENAC DIETHYLAMINE EXPRIME EN DICLOFENAC SODIQUE,PHLOGOREN,GEL DERMIQUE,"0,01",T/50G,LISTE II,HOP,OFF,,LABORATOIRE ARAB PHARM,ALGERIE,2009-07-01 00:00:00,2009-07-01 00:00:00,GE,F,
4473,352/21 A 004/98/24,21 A 004,DICLOFENAC DIETHYLAMINE EXPRIME EN DICLOFENAC SODIQUE,TABIFLEX COOL,EMULSION GEL,"0,01",B/01 TUBE DE 50G,LISTE II,HOP,OFF,,EL KENDI,ALGERIE,2017-12-25 00:00:00,2024-02-29 00:00:00,GE,F,36 MOIS
4474,400/21 A 004/16,21 A 004,DICLOFENAC DIETHYLAMINE EXPRIME EN DICLOFENAC SODIQUE,VOLTAMEX,GEL DERMIQUE,"0,01",B/1 TUBE DE 50G,LISTE I,HOP,OFF,,KPMA BIOTIC,ALGERIE,2016-12-19 00:00:00,2016-12-19 00:00:00,GE,F,24 MOIS
4475,418/21 A 004/14,21 A 004,DICLOFENAC DIETHYLAMINE EXPRIME EN DICLOFENAC SODIQUE,DEFLAMAC,GEL DERMIQUE,"0,01",T/50G,LISTE II,HOP,OFF,,NEOMEDIC,ALGERIE,2014-06-01 00:00:00,2014-06-01 00:00:00,GE,F,24 MOIS
4476,546/21 A 004/22,21 A 004,DICLOFENAC DIETHYLAMINE EXPRIME EN DICLOFENAC SODIQUE,OXYFENAC,GEL DERMIQUE,"0,01",B/01 TUBE DE 50G,LISTE II,HOP,OFF,,SARL ONYX INDUSTRIE PHARMACEUTIQUE,ALGERIE,2022-04-24 00:00:00,2022-04-24 00:00:00,GE,F,24 MOIS
4477,003/21 A 005/09/22,21 A 005,PIROXICAM,PRIXAM,GEL DERMIQUE,"0,005",TUBE/50G,LISTE I,HOP,OFF,,GROUPE SAIDAL,ALGERIE,2009-03-07 00:00:00,2022-01-20 00:00:00,GE,F,24 MOIS
4478,035/21 A 005/17,21 A 005,PIROXICAM,FELCAM,GEL,"0,005",T/50G,LISTE I,HOP,OFF,,PHARMALLIANCE,ALGERIE,2017-07-30 00:00:00,2017-07-30 00:00:00,GE,F,24 MOIS
4479,149/21 A 005/12/18,21 A 005,PIROXICAM,PIROXICAM NOVAGENERICS,GEL DERMIQUE,"0,005",T/50G,LISTE I,HOP,OFF,,NOVAPHARM TRADING SARL,ALGERIE,2012-03-20 00:00:00,2018-04-02 00:00:00,GE,F,36 MOIS
4480,263/21 A 005/12,21 A 005,PIROXICAM,FENOXAM,GEL DERMIQUE,"0,005",T/50G,LISTE I,HOP,OFF,,BIOPHARM SPA,ALGERIE,2012-03-20 00:00:00,2012-03-20 00:00:00,GE,F,
4481,352/21 A 005/09,21 A 005,PIROXICAM,ORTHOCAM,GEL DERMIQUE,"0,005",T/25G,LISTE I,HOP,OFF,,EL KENDI,ALGERIE,2009-02-28 00:00:00,2009-02-28 00:00:00,GE,F,24 MOIS
4482,366/21 A 005/08,21 A 005,PIROXICAM,PIROXENE,GEL DERMIQUE,"0,005",T./40G,LISTE I,HOP,OFF,,4A SANTE INDUSTRIE,ALGERIE,2008-04-27 00:00:00,2008-04-27 00:00:00,GE,F,
4483,017/21 A 031/99/15,21 A 031,ACIDE NIFLUMIQUE,NIFLUGEL,GEL DERMIQUE,"0,025",T/60G,,HOP,OFF,,BRISTOL MYERS SQUIBB PHARMA EEIG,FRANCE,1999-05-15 00:00:00,2015-01-29 00:00:00,RE,I,36 MOIS
4484,319/21 A 031/08,21 A 031,ACIDE NIFLUMIQUE,GEMATE GEL,GEL DERMIQUE,"0,025",T/60G,,HOP,OFF,,LABORATOIRE ARAB PHARM,ALGERIE,2008-07-14 00:00:00,2008-07-14 00:00:00,GE,F,
4485,366/21 A 031/08,21 A 031,ACIDE NIFLUMIQUE,NIFLURIC,GEL DERMIQUE,"0,025",T/40G,,HOP,OFF,,4A SANTE INDUSTRIE,ALGERIE,2008-12-17 00:00:00,2008-12-17 00:00:00,GE,F,
4486,400/21 A 031/21,21 A 031,ACIDE NIFLUMIQUE,NIFLUMEX,GEL DERMIQUE,"0,025",T/50G,,HOP,OFF,,KPMA BIOTIC,ALGERIE,2021-03-14 00:00:00,2021-03-14 00:00:00,GE,F,24 MOIS
4487,035/21 A 032/22,21 A 032,KETOPROFENE,PROFEN,GEL DERMIQUE,"0,025",TUBE DE 50G,LISTE II,HOP,OFF,,PHARMALLIANCE,ALGERIE,2022-08-09 00:00:00,2022-08-09 00:00:00,GE,F,24 MOIS
4488,203/21 A 032/05/14,21 A 032,KETOPROFENE,KETUM,GEL DERMIQUE,"0,025",T/60G,LISTE II,HOP,OFF,,MENARINI FRANCE,FRANCE,2005-12-11 00:00:00,2014-02-27 00:00:00,RE,F,36 MOIS
4489,309/21 A 032/16/22,21 A 032,KETOPROFENE,KOPROFEN,GEL DERMIQUE,"0,025",T/60G,LISTE II,HOP,OFF,,LABORATOIRES DE DIAGNOSTIC MAGHREBINS-LDM,ALGERIE,2016-04-11 00:00:00,2022-11-28 00:00:00,GE,F,36 MOIS
4490,311/21 A 032/15,21 A 032,KETOPROFENE,K-PROFEN,GEL DERMIQUE,"0,025",T/50G,LISTE II,HOP,OFF,,SARL LABORATOIRE GROUPEMENT PHARMACEUTIQUE ALGERIEN,ALGERIE,2015-12-27 00:00:00,2015-12-27 00:00:00,GE,F,24 MOIS
4491,319/21 A 032/08,21 A 032,KETOPROFENE,GEPROFEN,GEL DERMIQUE,"0,025",T/60G,LISTE II,HOP,OFF,,LABORATOIRE ARAB PHARM,ALGERIE,2008-12-23 00:00:00,2008-12-23 00:00:00,GE,F,
4492,366/21 A 032/08,21 A 032,KETOPROFENE,KETOFEN,GEL DERMIQUE,"0,025",T./40G,LISTE II,HOP,OFF,,4A SANTE INDUSTRIE,ALGERIE,2008-04-27 00:00:00,2008-04-27 00:00:00,GE,F,
4493,400/21 A 032/21,21 A 032,KETOPROFENE,KETOMEX,GEL DERMIQUE,2.5%,B/1 TUBE DE 50G,LISTE II,HOP,OFF,,KPMA BIOTIC,ALGERIE,2020-11-25 00:00:00,2020-11-25 00:00:00,GE,F,24 MOIS
4494,546/21 A 032/20,21 A 032,KETOPROFENE,KETONYX,GEL,2.5%,TUBE/50G,LISTE II,HOP,OFF,,SARL ONYX INDUSTRIE PHARMACEUTIQUE,ALGERIE,2020-10-21 00:00:00,2020-10-21 00:00:00,GE,F,24 MOIS
4495,169/21 A 035/00,21 A 035,DEXAMETHASONE / SALICYLAMIDE /SALICYLATE D''HYDROXYETHYLE,PERCUTALGINE SPRAY,SOL.DERM.,"0,05%/8,5%/10%",FLACON PRESSURISE DE 40ML AVEC POMPE DOSEUSE,LISTE I,HOP,OFF,,BESINS INTERNATIONAL,FRANCE,2000-08-01 00:00:00,2000-08-01 00:00:00,RE,I,
4496,035/21 A 057/17,21 A 057,IBUPROFENE,ANTALFEN,GEL DERMIQUE,5% ( 5G/100 G ),T/50G,,HOP,OFF,,PHARMALLIANCE,ALGERIE,2017-09-10 00:00:00,2017-09-10 00:00:00,GE,F,24 MOIS
4497,309/21 A 057/19,21 A 057,IBUPROFENE,GELFEN5%,GEL DERMIQUE,5% ( 5G/100 G ),TUBE/50G,,HOP,OFF,,LABORATOIRES DE DIAGNOSTIC MAGHREBINS-LDM,ALGERIE,2019-03-29 00:00:00,2022-10-13 00:00:00,GE,F,24 MOIS
4498,149/21 A 069/16,21 A 069,IBUPROFENE/LEVOMENTHOL,IBUTHOL,GEL,5G/3G POUR 100G,TUBE DE 50G,,HOP,OFF,,NOVAPHARM TRADING SARL,ALGERIE,2016-10-19 00:00:00,2016-10-19 00:00:00,GE,F,24 MOIS
4499,035/21 A 071/19,21 A 071,DICLOFENAC DIETHYLAMINE EXPRIME EN DICLOFENAC SODIQUE,VOLTUM,GEL,"0,02",TUBE/50G,LISTE II,HOP,OFF,,PHARMALLIANCE,ALGERIE,2019-11-05 00:00:00,2019-11-05 00:00:00,GE,F,24 MOIS
4500,109/21 B 007/99,21 B 007,ALLOPURINOL,NO URIC 100,COMPRIME,100MG,B/50,LISTE I,HOP,OFF,,EGYPTIAN INTYERNATIONAL PHARMACEUTICAL INDUSTRIES COMPANY (EPICO),EGYPTE,1999-04-21 00:00:00,1999-04-21 00:00:00,GE,F,
4501,166/21 B 007/98/17,21 B 007,ALLOPURINOL,ZANURIC 100,COMPRIME,100MG,B/30,LISTE I,HOP,OFF,,RAM PHARMACEUTICAL INDUSTRIES,JORDANIE,1998-08-18 00:00:00,2017-09-04 00:00:00,GE,I,36 MOIS
4502,268/21 B 007/98/22,21 B 007,ALLOPURINOL,ZYLORIC,COMPRIME,100MG,B/50,LISTE I,HOP,OFF,,LABORATOIRES MERINAL FABRICATION,ALGERIE,1998-11-19 00:00:00,2022-05-29 00:00:00,GE,F,48 MOIS
4503,447/21 B 007/23,21 B 007,ALLOPURINOL,LESURIC,COMPRIME,100 MG,BOITE DE 30,LISTE I,HOP,OFF,,LABORATOIRES BEKER,ALGERIE,2023-07-02 00:00:00,2023-07-02 00:00:00,GE,F,24 MOIS
4504,468/21 B 007/13/20,21 B 007,ALLOPURINOL,NADLORIC,COMPRIME,100MG,B/30,LISTE I,HOP,OFF,,NADPHARMADIC-PRODUCTION,ALGERIE,2013-05-21 00:00:00,2020-01-08 00:00:00,GE,F,36 MOIS
4505,109/21 B 008/99,21 B 008,ALLOPURINOL,NO URIC 300,COMPRIME,300MG,B/20,LISTE I,HOP,OFF,,EGYPTIAN INTYERNATIONAL PHARMACEUTICAL INDUSTRIES COMPANY (EPICO),EGYPTE,1999-04-21 00:00:00,1999-04-21 00:00:00,GE,F,
4506,166/21 B 008/98/15,21 B 008,ALLOPURINOL,ZANURIC,COMPRIME,300MG,B/30,LISTE I,HOP,OFF,,RAM PHARMACEUTICAL INDUSTRIES,JORDANIE,1998-08-18 00:00:00,2015-05-31 00:00:00,GE,I,36 MOIS
4507,447/21 B 008/23,21 B 008,ALLOPURINOL,LESURIC,COMPRIME,300 MG,BOITE DE 30,LISTE I,HOP,OFF,,LABORATOIRES BEKER,ALGERIE,2023-09-24 00:00:00,2023-09-24 00:00:00,GE,F,24 MOIS
4508,468/21 B 008/21,21 B 008,ALLOPURINOL,NADLORIC,COMPRIME,300MG,B/30,LISTE I,HOP,OFF,,NADPHARMADIC-PRODUCTION,ALGERIE,2021-09-06 00:00:00,2021-09-06 00:00:00,GE,F,24 MOIS
4509,067/21 B 009/98/19,21 B 009,COLCHICINE,COLCHICINE OPOCALCIUM,COMPRIME SECABLE,1MG,B/20,LISTE I,HOP,OFF,,MAYOLY SPINDLER,FRANCE,1998-05-16 00:00:00,2019-07-28 00:00:00,RE,I,48 MOIS
4510,400/21 B 009/15,21 B 009,COLCHICINE CRISTALISEE,COLCHIMEX,COMPRIME,1MG,B/20,LISTE I,HOP,OFF,,KPMA BIOTIC,ALGERIE,2015-01-29 00:00:00,2015-01-29 00:00:00,GE,F,24 MOIS
4511,447/06 M 236/15/22,21 B 009,COLCHICINE CRISTALISEE,COLCHIMED,COMPRIME,1MG,B/20,LISTE I,HOP,OFF,,INPHA-MEDIS,ALGERIE,2014-11-13 00:00:00,2022-01-11 00:00:00,GE,F,36 MOIS
4512,001/21 B 074/21,21 B 074,FEBUXOSTAT,FEBOREX,COMPRIME PELLICULE,80 MG,B/30,LISTE I,HOP,OFF,,HIKMA PHARMA ALGERIE,ALGERIE,2021-08-02 00:00:00,2023-10-02 00:00:00,GE,F,36 MOIS
4513,149/21 B 074/21,21 B 074,FEBUXOSTAT,ADENUMAX,COMPRIME PELLICULE,80 MG,B/30,LISTE I,HOP,OFF,,NOVAPHARM TRADING SARL,ALGERIE,2021-08-02 00:00:00,2021-08-02 00:00:00,GE,F,24 MOIS
4514,352/21 B 074/21,21 B 074,FEBUXOSTAT,TAZOTAX,COMPRIME PELLICULE,80MG,B/30,LISTE I,HOP,OFF,,EL KENDI,ALGERIE,2021-08-02 00:00:00,2024-03-31 00:00:00,GE,F,36 MOIS
4515,001/21 B 075/21,21 B 075,FEBUXOSTAT,FEBOREX,COMPRIME PELLICULE,120 MG,B/30,LISTE I,HOP,OFF,,HIKMA PHARMA ALGERIE,ALGERIE,2021-08-02 00:00:00,2023-10-02 00:00:00,GE,F,36 MOIS
4516,352/21 B 075/21,21 B 075,FEBUXOSTAT,TAZOTAX,COMPRIME PELLICULE,120 MG,B/30,LISTE I,HOP,OFF,,EL KENDI,ALGERIE,2021-08-02 00:00:00,2024-03-31 00:00:00,GE,F,36 MOIS
4517,001/21 B 076/21,21 B 076,FEBUXOSTAT,FEBOREX,COMPRIME PELLICULE,40 MG,B/30,LISTE I,HOP,OFF,,HIKMA PHARMA ALGERIE,ALGERIE,2021-08-02 00:00:00,2023-10-02 00:00:00,GE,F,36 MOIS
4518,011/21 C 012/96/16,21 C 012,CALCITONINE SYNTHETIQUE DE SAUMON,CALCO,SOLUTION INJECTABLE,100UI/ML,B/5AMP. DE 1ML,LISTE II,HOP,OFF,,ITALIANO BIOCHIMICO FARMACEUTICO LISAPHARMA SPA,ITALIE,1996-10-13 00:00:00,2017-03-05 00:00:00,GE,I,24 MOIS
4519,182/21 C 034/14,21 C 034,PAMIDRONATE SODIUM,PAMIDRIA,PDRE LYOPHILISEE P/INJ EN PERF IV,90MG/FL.,B/01 FL. DE LYOPHILISAT+ 01 AMP. DE SOLVANT DE 10ML (EPPI),LISTE I,HOP,,,CIPLA LIMITED,INDE,2014-01-30 00:00:00,2014-01-30 00:00:00,GE,I,24 MOIS
4520,317/21 C 041/14/22,21 C 041,ACIDE RISEDRONIQUE SEL MONOSODIQUE,OSTEOS,COMPRIME,30MG,B/30,LISTE I,HOP,OFF,,INPHA-MEDIS,ALGERIE,2014-06-22 00:00:00,2022-12-29 00:00:00,GE,F,36 MOIS
4521,003/21 D 020/20,21 D 020,HYDROXYCHLOROQUINE SULFATE,HCQ-SAIDAL,COMPRIME PELLICULE,200MG,B/30,LISTE II,HOP,OFF,,GROUPE SAIDAL,ALGERIE,2020-09-09 00:00:00,2023-10-26 00:00:00,GE,F,24 MOIS
4522,255/21 D 020/98/16,21 D 020,HYDROXYCHLOROQUINE,PLAQUENIL,COMPRIME ENROBE,200MG,B/30,,HOP,OFF,,SANOFI SYNTHELABO FRANCE,FRANCE,1998-04-20 00:00:00,2017-03-06 00:00:00,RE,I,24 MOIS
4523,286/21 D 020/17/23,21 D 020,HYDROXYCHLOROQUINE SULFATE,XARIA,COMPRIME PELLICULE,200MG,B/30,LISTE II,HOP,OFF,,CHIMIE PHARMACIE COMMERCE MULTIPLE SARL (CPCM),ALGERIE,2017-03-20 00:00:00,2023-02-08 00:00:00,GE,F,36 MOIS
4524,447/21 D 020/23,21 D 020,HYDROXYCHLOROQUINE SULFATE,HYDROXYCHLOROQUINE BEKER,COMPRIME PELLICULE,200 MG,BOITE DE 30,LISTE I,HOP,OFF,,LABORATOIRES BEKER,ALGERIE,2023-07-10 00:00:00,2023-09-17 00:00:00,GE,F,24 MOIS
4525,230/21 D 040/03,21 D 040,RISEDRONATE MONOSODIQUE,ACTONEL,COMPRIME PELLICULE,5MG,B/28,LISTE I,HOP,OFF,,AVENTIS PHARMA S.A,FRANCE,2003-04-23 00:00:00,2003-04-23 00:00:00,RE,I,
4526,317/21 D 040/14/22,21 D 040,ACIDE RISEDRONIQUE SEL MONOSODIQUE,OSTEOS,COMPRIME PELLICULE,5MG,B/30,LISTE I,HOP,OFF,,INPHA-MEDIS,ALGERIE,2014-04-28 00:00:00,2022-12-29 00:00:00,GE,F,36 MOIS
4527,230/21 D 042/03,21 D 042,LEFLUNOMIDE,ARAVA,COMPRIME PELLICULE,10MG,B/30,LISTE I,HOP,OFF,,AVENTIS PHARMA S.A,ALLEMAGNE,2003-02-03 00:00:00,2003-02-03 00:00:00,RE,I,
4528,293/21 D 042/19,21 D 042,LEFLUNOMIDE,BIORAVA,COMPRIME PELLICULE,10MG,B/30,LISTE I,HOP,OFF,,BIOCARE,ALGERIE,2019-06-18 00:00:00,2019-06-18 00:00:00,RE,I,24 MOIS
4529,230/21 D 043/03,21 D 043,LEFLUNOMIDE,ARAVA,COMPRIME PELLICULE,20MG,B/30,LISTE I,HOP,OFF,,AVENTIS PHARMA S.A,ALLEMAGNE,2003-02-03 00:00:00,2003-02-03 00:00:00,RE,I,
4530,293/21 D 043/19,21 D 043,LEFLUNOMIDE,BIORAVA,COMPRIME PELLICULE,20MG,B/30,LISTE I,HOP,OFF,,BIOCARE,ALGERIE,2019-06-18 00:00:00,2019-06-16 00:00:00,RE,I,24 MOIS
4531,230/21 D 044/03,21 D 044,LEFLUNOMIDE,ARAVA,COMPRIME PELLICULE,100MG,B/3,LISTE I,HOP,OFF,,AVENTIS PHARMA S.A,ALLEMAGNE,2003-02-03 00:00:00,2003-02-03 00:00:00,RE,I,
4532,317/21 D 046/14/22,21 D 046,ACIDE RISEDRONIQUE SEL MONOSODIQUE,OSTEOS,COMPRIME PELLICULE,35MG,B/04,LISTE I,HOP,OFF,,INPHA-MEDIS,ALGERIE,2014-06-22 00:00:00,2022-12-29 00:00:00,GE,F,36 MOIS
4533,352/21 D 046/15,21 D 046,ACIDE RISEDRONIQUE MONOSODIQUE HEMIPENTAHYDRATE EXPRIME EN ACIDE RIDEDRONIQUE MONOSODIQUE,RISONATE,COMPRIME PELLICULE,35MG,B/04,LISTE I,HOP,OFF,,EL KENDI,ALGERIE,2015-12-02 00:00:00,2015-12-02 00:00:00,GE,F,24 MOIS
